,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
1136,2.0,2020-01-01 00:34:17,2020-01-01 00:41:13,1.0,0.87,1.0,N,13,231,2.0,6.5,0.5,0.5,0.0,0.0,0.3,10.3,2.5
1137,2.0,2020-01-01 00:44:29,2020-01-01 01:10:53,1.0,4.98,1.0,N,231,141,1.0,20.0,0.5,0.5,7.14,0.0,0.3,30.94,2.5
1138,1.0,2020-01-01 00:21:04,2020-01-01 00:32:59,0.0,1.2,1.0,N,144,107,1.0,8.5,3.0,0.5,2.45,0.0,0.3,14.75,2.5
1139,1.0,2020-01-01 00:40:27,2020-01-01 01:01:47,2.0,4.0,1.0,N,107,262,1.0,17.0,3.0,0.5,5.2,0.0,0.3,26.0,2.5
1140,2.0,2020-01-01 00:03:36,2020-01-01 00:26:49,4.0,9.35,1.0,N,132,72,1.0,29.0,0.5,0.5,7.58,0.0,0.3,37.88,0.0
1141,1.0,2020-01-01 00:13:00,2020-01-01 00:30:12,1.0,3.1,1.0,N,236,238,1.0,13.5,3.0,0.5,3.46,0.0,0.3,20.76,2.5
1142,1.0,2020-01-01 00:34:21,2020-01-01 00:47:23,1.0,2.2,1.0,N,236,229,1.0,10.5,3.0,0.5,2.15,0.0,0.3,16.45,2.5
1143,1.0,2020-01-01 00:51:01,2020-01-01 01:01:40,1.0,1.5,1.0,N,229,170,2.0,8.5,3.0,0.5,0.0,0.0,0.3,12.3,2.5
1144,2.0,2020-01-01 00:25:21,2020-01-01 00:54:36,2.0,1.55,1.0,N,43,164,1.0,17.5,0.5,0.5,4.26,0.0,0.3,25.56,2.5
1145,2.0,2020-01-01 00:57:21,2020-01-01 01:14:42,2.0,2.37,1.0,N,164,148,1.0,12.5,0.5,0.5,4.08,0.0,0.3,20.38,2.5
1146,2.0,2020-01-01 00:05:21,2020-01-01 00:11:44,1.0,1.52,1.0,N,79,137,1.0,7.0,0.5,0.5,2.16,0.0,0.3,12.96,2.5
1147,2.0,2020-01-01 00:27:38,2020-01-01 00:39:35,1.0,0.88,1.0,N,90,90,1.0,8.5,0.5,0.5,2.46,0.0,0.3,14.76,2.5
1148,2.0,2020-01-01 00:49:15,2020-01-01 01:10:21,1.0,2.47,1.0,N,249,164,1.0,15.0,0.5,0.5,2.82,0.0,0.3,21.62,2.5
1149,2.0,2020-01-01 00:26:33,2020-01-01 00:27:48,2.0,0.26,1.0,N,148,79,1.0,3.0,0.5,0.5,1.36,0.0,0.3,8.16,2.5
